CMDLINE C:\Users\anton\AppData\Local\Programs\Python\Python310\python.exe .\held_karp_algorithm.py
MEM 1.652344 1668775801.1111
MEM 18.550781 1668775801.2160
MEM 31.632812 1668775801.3259
MEM 31.941406 1668775801.4337
MEM 31.972656 1668775801.5419
MEM 32.039062 1668775801.6510
MEM 32.085938 1668775801.7617
MEM 32.125000 1668775801.8704
MEM 32.222656 1668775801.9794
MEM 32.253906 1668775802.0868
MEM 32.285156 1668775802.1951
MEM 32.320312 1668775802.3055
MEM 32.363281 1668775802.4133
MEM 32.402344 1668775802.5219
MEM 32.574219 1668775802.6311
MEM 32.605469 1668775802.7402
MEM 32.636719 1668775802.8488
MEM 32.671875 1668775802.9576
MEM 32.703125 1668775803.0659
MEM 32.734375 1668775803.1749
MEM 32.765625 1668775803.2834
MEM 32.800781 1668775803.3934
MEM 32.828125 1668775803.5008
MEM 32.859375 1668775803.6094
MEM 32.890625 1668775803.7182
MEM 32.921875 1668775803.8271
MEM 32.957031 1668775803.9365
MEM 32.992188 1668775804.0457
MEM 33.304688 1668775804.1540
MEM 33.367188 1668775804.2619
MEM 33.367188 1668775804.3703
MEM 33.429688 1668775804.4797
MEM 33.429688 1668775804.5893
MEM 33.492188 1668775804.6973
MEM 33.492188 1668775804.8072
MEM 33.492188 1668775804.9163
MEM 33.507812 1668775805.0252
MEM 33.535156 1668775805.1339
MEM 33.558594 1668775805.2436
MEM 33.585938 1668775805.3530
MEM 33.609375 1668775805.4609
MEM 33.636719 1668775805.5695
MEM 33.660156 1668775805.6781
MEM 33.687500 1668775805.7863
MEM 33.710938 1668775805.8945
MEM 33.738281 1668775806.0031
MEM 33.761719 1668775806.1106
MEM 33.792969 1668775806.2199
MEM 33.816406 1668775806.3282
MEM 33.843750 1668775806.4367
MEM 33.867188 1668775806.5452
MEM 33.894531 1668775806.6539
MEM 33.917969 1668775806.7620
MEM 33.945312 1668775806.8700
MEM 33.968750 1668775806.9795
MEM 33.996094 1668775807.0880
MEM 34.019531 1668775807.1967
MEM 34.046875 1668775807.3048
MEM 34.117188 1668775807.4132
MEM 34.117188 1668775807.5220
MEM 34.179688 1668775807.6303
MEM 34.750000 1668775807.7384
MEM 34.812500 1668775807.8488
MEM 34.812500 1668775807.9570
MEM 34.820312 1668775808.0655
MEM 34.843750 1668775808.1744
MEM 34.871094 1668775808.2824
MEM 34.902344 1668775808.3915
MEM 34.925781 1668775808.5007
MEM 34.953125 1668775808.6096
MEM 34.976562 1668775808.7176
MEM 35.003906 1668775808.8261
MEM 35.027344 1668775808.9345
MEM 35.054688 1668775809.0440
MEM 35.078125 1668775809.1521
MEM 35.105469 1668775809.2616
MEM 35.128906 1668775809.3695
MEM 35.160156 1668775809.4787
MEM 35.179688 1668775809.5871
MEM 35.207031 1668775809.6962
MEM 35.234375 1668775809.8056
MEM 35.261719 1668775809.9143
MEM 35.285156 1668775810.0227
MEM 35.312500 1668775810.1307
MEM 35.335938 1668775810.2397
MEM 35.363281 1668775810.3484
MEM 35.390625 1668775810.4565
MEM 35.414062 1668775810.5652
MEM 35.433594 1668775810.6740
MEM 35.500000 1668775810.7825
MEM 35.500000 1668775810.8909
MEM 35.500000 1668775810.9993
MEM 35.562500 1668775811.1079
MEM 35.562500 1668775811.2158
MEM 35.562500 1668775811.3234
MEM 35.625000 1668775811.4319
MEM 35.625000 1668775811.5410
MEM 35.632812 1668775811.6499
MEM 35.652344 1668775811.7584
MEM 35.671875 1668775811.8671
MEM 35.695312 1668775811.9760
MEM 35.722656 1668775812.0852
MEM 35.746094 1668775812.1941
MEM 35.761719 1668775812.3021
MEM 35.785156 1668775812.4101
MEM 35.812500 1668775812.5183
MEM 35.824219 1668775812.6204
MEM 35.843750 1668775812.7285
MEM 35.867188 1668775812.8369
MEM 35.886719 1668775812.9449
MEM 35.906250 1668775813.0536
MEM 35.925781 1668775813.1606
MEM 35.953125 1668775813.2696
MEM 35.972656 1668775813.3794
MEM 35.992188 1668775813.4874
MEM 36.011719 1668775813.5962
MEM 36.031250 1668775813.7047
MEM 36.054688 1668775813.8127
MEM 36.074219 1668775813.9210
MEM 36.097656 1668775814.0298
MEM 36.125000 1668775814.1388
MEM 36.144531 1668775814.2471
MEM 36.167969 1668775814.3557
MEM 36.250000 1668775814.4637
MEM 36.250000 1668775814.5715
MEM 36.250000 1668775814.6759
MEM 36.250000 1668775814.7852
MEM 36.312500 1668775814.8938
MEM 36.312500 1668775815.0030
MEM 36.312500 1668775815.1107
MEM 36.332031 1668775815.2191
MEM 36.351562 1668775815.3284
MEM 36.371094 1668775815.4367
MEM 36.390625 1668775815.5451
MEM 36.410156 1668775815.6582
MEM 36.433594 1668775815.7661
MEM 36.593750 1668775815.8752
MEM 36.613281 1668775815.9832
MEM 36.632812 1668775816.0924
MEM 36.652344 1668775816.2011
MEM 36.675781 1668775816.3095
MEM 36.695312 1668775816.4178
MEM 36.714844 1668775816.5262
MEM 36.734375 1668775816.6353
MEM 36.753906 1668775816.7436
MEM 36.781250 1668775816.8521
MEM 36.800781 1668775816.9614
MEM 36.820312 1668775817.0705
MEM 36.839844 1668775817.1785
MEM 36.859375 1668775817.2876
MEM 36.886719 1668775817.3965
MEM 36.906250 1668775817.5042
MEM 36.925781 1668775817.6121
MEM 36.945312 1668775817.7226
MEM 37.011719 1668775817.8310
MEM 37.011719 1668775817.9392
MEM 37.011719 1668775818.0482
MEM 37.031250 1668775818.1557
MEM 37.050781 1668775818.2641
MEM 37.066406 1668775818.3724
MEM 37.136719 1668775818.4805
MEM 37.136719 1668775818.5887
MEM 37.136719 1668775818.6970
MEM 37.148438 1668775818.8054
MEM 37.171875 1668775818.9149
MEM 37.195312 1668775819.0238
MEM 37.214844 1668775819.1333
MEM 37.234375 1668775819.2418
MEM 37.265625 1668775819.3514
MEM 37.285156 1668775819.4595
MEM 37.304688 1668775819.5682
MEM 37.324219 1668775819.6770
MEM 37.343750 1668775819.7863
MEM 37.371094 1668775819.8951
MEM 37.390625 1668775820.0050
MEM 37.414062 1668775820.1135
MEM 37.437500 1668775820.2217
MEM 37.464844 1668775820.3308
MEM 37.480469 1668775820.4386
MEM 37.503906 1668775820.5480
MEM 37.523438 1668775820.6554
MEM 37.546875 1668775820.7633
MEM 37.566406 1668775820.8719
MEM 37.585938 1668775820.9802
MEM 37.605469 1668775821.0877
MEM 37.632812 1668775821.1957
MEM 37.703125 1668775821.3038
MEM 37.703125 1668775821.4133
MEM 37.703125 1668775821.5211
MEM 37.710938 1668775821.6295
MEM 37.734375 1668775821.7377
MEM 37.757812 1668775821.8456
MEM 37.781250 1668775821.9539
MEM 37.804688 1668775822.0622
MEM 37.828125 1668775822.1710
MEM 37.847656 1668775822.2797
MEM 37.867188 1668775822.3883
MEM 37.890625 1668775822.4968
MEM 37.910156 1668775822.6051
MEM 37.933594 1668775822.7140
MEM 37.953125 1668775822.8227
MEM 37.976562 1668775822.9311
MEM 37.996094 1668775823.0394
MEM 38.015625 1668775823.1476
MEM 38.039062 1668775823.2558
MEM 38.058594 1668775823.3645
MEM 38.082031 1668775823.4732
MEM 38.105469 1668775823.5824
MEM 38.125000 1668775823.6913
MEM 38.152344 1668775823.8002
MEM 38.171875 1668775823.9098
MEM 38.195312 1668775824.0185
MEM 38.222656 1668775824.1267
MEM 38.246094 1668775824.2351
MEM 38.328125 1668775824.3442
MEM 38.328125 1668775824.4530
MEM 38.328125 1668775824.5613
MEM 38.390625 1668775824.6702
MEM 38.390625 1668775824.7785
MEM 38.390625 1668775824.8871
MEM 38.453125 1668775824.9961
MEM 38.453125 1668775825.1044
MEM 38.453125 1668775825.2127
MEM 38.468750 1668775825.3223
MEM 38.488281 1668775825.4316
MEM 38.503906 1668775825.5401
MEM 38.523438 1668775825.6493
MEM 38.542969 1668775825.7574
MEM 38.558594 1668775825.8660
MEM 38.578125 1668775825.9745
MEM 38.593750 1668775826.0826
MEM 38.613281 1668775826.1909
MEM 38.632812 1668775826.2991
MEM 38.648438 1668775826.4071
MEM 38.667969 1668775826.5159
MEM 38.687500 1668775826.6242
MEM 38.707031 1668775826.7341
MEM 38.726562 1668775826.8429
MEM 38.746094 1668775826.9514
MEM 38.761719 1668775827.0610
MEM 38.781250 1668775827.1714
MEM 38.800781 1668775827.2800
MEM 38.816406 1668775827.3884
MEM 38.890625 1668775827.4967
MEM 38.890625 1668775827.6049
MEM 38.890625 1668775827.7132
MEM 38.890625 1668775827.8216
MEM 38.953125 1668775827.9296
MEM 38.953125 1668775828.0375
MEM 38.953125 1668775828.1465
MEM 39.015625 1668775828.2545
MEM 39.015625 1668775828.3640
MEM 39.015625 1668775828.4736
MEM 39.019531 1668775828.5830
MEM 39.035156 1668775828.6922
MEM 39.054688 1668775828.8009
MEM 39.070312 1668775828.9111
MEM 39.089844 1668775829.0204
MEM 39.109375 1668775829.1291
MEM 39.132812 1668775829.2383
MEM 39.152344 1668775829.3479
MEM 39.171875 1668775829.4568
MEM 39.191406 1668775829.5646
MEM 39.210938 1668775829.6729
MEM 39.230469 1668775829.7820
MEM 39.246094 1668775829.8903
MEM 39.265625 1668775829.9983
MEM 39.281250 1668775830.1060
MEM 39.300781 1668775830.2140
MEM 39.320312 1668775830.3226
MEM 39.339844 1668775830.4308
MEM 39.359375 1668775830.5410
MEM 39.378906 1668775830.6499
MEM 39.453125 1668775830.7584
MEM 39.453125 1668775830.8667
MEM 39.453125 1668775830.9754
MEM 39.453125 1668775831.0840
MEM 39.468750 1668775831.1931
MEM 39.519531 1668775831.3009
MEM 39.535156 1668775831.4094
MEM 39.609375 1668775831.5180
MEM 39.609375 1668775831.6262
MEM 39.609375 1668775831.7353
MEM 39.613281 1668775831.8435
MEM 39.628906 1668775831.9517
MEM 39.644531 1668775832.0604
MEM 39.664062 1668775832.1691
MEM 39.683594 1668775832.2774
MEM 39.699219 1668775832.3855
MEM 39.718750 1668775832.4937
MEM 39.738281 1668775832.6024
MEM 39.753906 1668775832.7113
MEM 39.781250 1668775832.8199
MEM 39.800781 1668775832.9287
MEM 39.816406 1668775833.0377
MEM 39.835938 1668775833.1457
MEM 39.855469 1668775833.2540
MEM 39.875000 1668775833.3623
MEM 39.890625 1668775833.4701
MEM 39.910156 1668775833.5782
MEM 39.929688 1668775833.6866
MEM 39.945312 1668775833.7950
MEM 39.964844 1668775833.9044
MEM 39.984375 1668775834.0130
MEM 40.046875 1668775834.1220
MEM 40.046875 1668775834.2308
MEM 40.046875 1668775834.3391
MEM 40.109375 1668775834.4479
MEM 41.359375 1668775834.5568
MEM 41.359375 1668775834.6655
MEM 41.421875 1668775834.7751
MEM 41.421875 1668775834.8837
MEM 41.421875 1668775834.9927
MEM 41.425781 1668775835.1018
MEM 41.441406 1668775835.2101
MEM 41.460938 1668775835.3193
MEM 41.484375 1668775835.4281
MEM 41.503906 1668775835.5368
MEM 41.519531 1668775835.6444
MEM 41.539062 1668775835.7524
MEM 41.554688 1668775835.8608
MEM 41.578125 1668775835.9692
MEM 41.597656 1668775836.0776
MEM 41.621094 1668775836.1863
MEM 41.644531 1668775836.2952
MEM 41.667969 1668775836.4045
MEM 41.687500 1668775836.5137
MEM 41.707031 1668775836.6225
MEM 41.722656 1668775836.7314
MEM 41.742188 1668775836.8404
MEM 41.761719 1668775836.9493
MEM 41.781250 1668775837.0579
MEM 41.859375 1668775837.1664
MEM 41.859375 1668775837.2748
MEM 41.859375 1668775837.3835
MEM 41.859375 1668775837.4932
MEM 41.921875 1668775837.6019
MEM 41.921875 1668775837.7110
MEM 41.921875 1668775837.8205
MEM 41.984375 1668775837.9296
MEM 41.984375 1668775838.0371
MEM 41.984375 1668775838.1461
MEM 41.988281 1668775838.2551
MEM 42.000000 1668775838.3636
MEM 42.019531 1668775838.4726
MEM 42.042969 1668775838.5818
MEM 42.066406 1668775838.6901
MEM 42.089844 1668775838.7981
MEM 42.105469 1668775838.9060
MEM 42.125000 1668775839.0143
MEM 42.144531 1668775839.1225
MEM 42.164062 1668775839.2308
MEM 42.179688 1668775839.3386
MEM 42.199219 1668775839.4470
MEM 42.218750 1668775839.5550
MEM 42.242188 1668775839.6643
MEM 42.261719 1668775839.7729
MEM 42.281250 1668775839.8817
MEM 42.296875 1668775839.9898
MEM 42.316406 1668775840.0981
MEM 42.335938 1668775840.2057
MEM 42.351562 1668775840.3143
MEM 42.421875 1668775840.4232
MEM 42.421875 1668775840.5321
MEM 42.421875 1668775840.6407
MEM 42.484375 1668775840.7488
MEM 42.484375 1668775840.8571
MEM 42.484375 1668775840.9653
MEM 42.484375 1668775841.0736
MEM 42.546875 1668775841.1829
MEM 42.546875 1668775841.2932
MEM 42.546875 1668775841.4021
MEM 42.554688 1668775841.5110
MEM 42.574219 1668775841.6202
MEM 42.593750 1668775841.7286
MEM 42.609375 1668775841.8372
MEM 42.628906 1668775841.9460
MEM 42.648438 1668775842.0547
MEM 42.664062 1668775842.1642
MEM 42.683594 1668775842.2736
MEM 42.703125 1668775842.3820
MEM 42.718750 1668775842.4914
MEM 42.738281 1668775842.5997
MEM 42.757812 1668775842.7094
MEM 42.773438 1668775842.8171
MEM 42.792969 1668775842.9259
MEM 42.812500 1668775843.0346
MEM 42.828125 1668775843.1435
MEM 42.847656 1668775843.2520
MEM 42.863281 1668775843.3603
MEM 42.890625 1668775843.4696
MEM 42.910156 1668775843.5786
MEM 42.984375 1668775843.6867
MEM 42.984375 1668775843.7949
MEM 42.984375 1668775843.9029
MEM 42.984375 1668775844.0114
MEM 43.046875 1668775844.1195
MEM 43.046875 1668775844.2279
MEM 43.046875 1668775844.3360
MEM 43.109375 1668775844.4442
MEM 43.109375 1668775844.5539
MEM 43.109375 1668775844.6635
MEM 43.113281 1668775844.7725
MEM 43.125000 1668775844.8816
MEM 43.144531 1668775844.9910
MEM 43.164062 1668775845.0992
MEM 43.179688 1668775845.2097
MEM 43.199219 1668775845.3204
MEM 43.214844 1668775845.4279
MEM 43.234375 1668775845.5361
MEM 43.250000 1668775845.6458
MEM 43.269531 1668775845.7534
MEM 43.289062 1668775845.8628
MEM 43.304688 1668775845.9722
MEM 43.324219 1668775846.0808
MEM 43.347656 1668775846.1900
MEM 43.363281 1668775846.2988
MEM 43.382812 1668775846.4081
MEM 43.402344 1668775846.5166
MEM 43.417969 1668775846.6254
MEM 43.437500 1668775846.7348
MEM 43.453125 1668775846.8446
MEM 43.472656 1668775846.9522
MEM 43.546875 1668775847.0615
MEM 43.546875 1668775847.1705
MEM 43.546875 1668775847.2794
MEM 43.546875 1668775847.3892
MEM 43.609375 1668775847.4982
MEM 43.609375 1668775847.6071
MEM 43.609375 1668775847.7152
MEM 43.613281 1668775847.8243
MEM 43.625000 1668775847.9338
MEM 43.640625 1668775848.0444
MEM 43.656250 1668775848.1517
MEM 43.671875 1668775848.2604
MEM 43.687500 1668775848.3687
MEM 43.703125 1668775848.4773
MEM 43.718750 1668775848.5880
MEM 43.730469 1668775848.6957
MEM 43.750000 1668775848.8059
MEM 43.765625 1668775848.9142
MEM 43.781250 1668775849.0226
MEM 43.796875 1668775849.1309
MEM 43.812500 1668775849.2402
MEM 43.828125 1668775849.3499
MEM 43.843750 1668775849.4592
MEM 43.855469 1668775849.5671
MEM 43.875000 1668775849.6760
MEM 43.890625 1668775849.7852
MEM 43.906250 1668775849.8933
MEM 43.921875 1668775850.0022
MEM 43.937500 1668775850.1110
MEM 43.957031 1668775850.2201
MEM 43.972656 1668775850.3283
MEM 43.988281 1668775850.4378
MEM 44.003906 1668775850.5468
MEM 44.019531 1668775850.6570
MEM 44.035156 1668775850.7653
MEM 44.109375 1668775850.8735
MEM 44.109375 1668775850.9822
MEM 44.109375 1668775851.0905
MEM 44.109375 1668775851.1983
MEM 44.171875 1668775851.3072
MEM 44.171875 1668775851.4166
MEM 44.171875 1668775851.5254
MEM 44.171875 1668775851.6343
MEM 44.187500 1668775851.7433
MEM 44.203125 1668775851.8511
MEM 44.218750 1668775851.9598
MEM 44.230469 1668775852.0699
MEM 44.246094 1668775852.1792
MEM 44.261719 1668775852.2875
MEM 44.277344 1668775852.3958
MEM 44.292969 1668775852.5040
MEM 44.312500 1668775852.6130
MEM 44.328125 1668775852.7197
MEM 44.343750 1668775852.8294
MEM 44.355469 1668775852.9365
MEM 44.367188 1668775853.0458
MEM 44.382812 1668775853.1556
MEM 44.390625 1668775853.2632
MEM 44.406250 1668775853.3723
MEM 44.417969 1668775853.4798
MEM 44.433594 1668775853.5888
MEM 44.441406 1668775853.6976
MEM 44.457031 1668775853.8074
MEM 44.472656 1668775853.9165
MEM 44.484375 1668775854.0257
MEM 44.496094 1668775854.1334
MEM 44.511719 1668775854.2406
MEM 44.527344 1668775854.3488
MEM 44.542969 1668775854.4504
MEM 44.609375 1668775854.5585
MEM 44.609375 1668775854.6662
MEM 44.609375 1668775854.7721
MEM 44.609375 1668775854.8819
MEM 44.609375 1668775854.9891
MEM 44.671875 1668775855.0958
MEM 44.671875 1668775855.2044
MEM 44.671875 1668775855.3120
MEM 44.671875 1668775855.4169
MEM 44.671875 1668775855.5244
MEM 44.683594 1668775855.6337
MEM 44.699219 1668775855.7424
MEM 44.714844 1668775855.8513
MEM 44.726562 1668775855.9600
MEM 44.742188 1668775856.0666
MEM 44.757812 1668775856.1742
MEM 44.773438 1668775856.2834
MEM 44.789062 1668775856.3919
MEM 44.804688 1668775856.4995
MEM 44.824219 1668775856.6079
MEM 44.835938 1668775856.7170
MEM 44.851562 1668775856.8254
MEM 44.867188 1668775856.9361
MEM 44.878906 1668775857.0450
MEM 44.886719 1668775857.1535
MEM 44.902344 1668775857.2620
MEM 44.917969 1668775857.3643
MEM 44.929688 1668775857.4724
MEM 44.941406 1668775857.5825
MEM 44.960938 1668775857.6910
MEM 44.972656 1668775857.7986
MEM 44.984375 1668775857.9076
MEM 45.000000 1668775858.0147
MEM 45.011719 1668775858.1232
MEM 45.027344 1668775858.2315
MEM 45.039062 1668775858.3407
MEM 45.109375 1668775858.4492
MEM 45.109375 1668775858.5573
MEM 45.109375 1668775858.6665
MEM 45.109375 1668775858.7753
MEM 45.109375 1668775858.8844
MEM 45.171875 1668775858.9923
MEM 45.171875 1668775859.0991
MEM 45.171875 1668775859.2080
MEM 45.171875 1668775859.3167
MEM 45.175781 1668775859.4261
MEM 45.187500 1668775859.5330
MEM 45.199219 1668775859.6424
MEM 45.214844 1668775859.7506
MEM 45.222656 1668775859.8587
MEM 45.238281 1668775859.9660
MEM 45.253906 1668775860.0753
MEM 45.261719 1668775860.1837
MEM 45.277344 1668775860.2923
MEM 45.292969 1668775860.4007
MEM 45.308594 1668775860.5094
MEM 45.324219 1668775860.6181
MEM 45.339844 1668775860.7264
MEM 45.347656 1668775860.8345
MEM 45.363281 1668775860.9425
MEM 45.378906 1668775861.0511
MEM 45.339844 1668775861.1595
MEM 45.359375 1668775861.2678
MEM 45.367188 1668775861.3753
MEM 45.378906 1668775861.4842
MEM 45.386719 1668775861.5927
MEM 45.398438 1668775861.7010
MEM 45.414062 1668775861.8102
MEM 45.433594 1668775861.9193
MEM 45.445312 1668775862.0278
MEM 45.460938 1668775862.1370
MEM 45.472656 1668775862.2459
MEM 45.484375 1668775862.3538
MEM 45.554688 1668775862.4637
MEM 45.554688 1668775862.5710
MEM 45.554688 1668775862.6787
MEM 45.554688 1668775862.7869
MEM 45.554688 1668775862.8952
MEM 45.617188 1668775863.0034
MEM 45.617188 1668775863.1129
MEM 45.617188 1668775863.2211
MEM 45.617188 1668775863.3295
MEM 45.617188 1668775863.4387
MEM 45.628906 1668775863.5468
MEM 45.644531 1668775863.6548
MEM 45.656250 1668775863.7627
MEM 45.667969 1668775863.8710
MEM 45.679688 1668775863.9805
MEM 45.695312 1668775864.0904
MEM 45.703125 1668775864.1993
MEM 45.718750 1668775864.3128
MEM 45.734375 1668775864.4207
MEM 45.750000 1668775864.5287
MEM 45.757812 1668775864.6366
MEM 45.773438 1668775864.7458
MEM 45.785156 1668775864.8544
MEM 45.800781 1668775864.9637
MEM 45.812500 1668775865.0729
MEM 45.828125 1668775865.1825
MEM 45.843750 1668775865.2912
MEM 45.855469 1668775865.3996
MEM 45.863281 1668775865.5080
MEM 45.878906 1668775865.6154
MEM 45.890625 1668775865.7244
MEM 45.906250 1668775865.8329
MEM 45.917969 1668775865.9397
MEM 45.929688 1668775866.0479
MEM 45.945312 1668775866.1568
MEM 45.953125 1668775866.2662
MEM 45.968750 1668775866.3749
MEM 45.984375 1668775866.4843
MEM 46.054688 1668775866.5937
MEM 46.054688 1668775866.7023
MEM 46.054688 1668775866.8113
MEM 46.054688 1668775866.9197
MEM 46.054688 1668775867.0276
MEM 46.117188 1668775867.1353
MEM 46.117188 1668775867.2446
MEM 46.117188 1668775867.3534
MEM 46.117188 1668775867.4623
MEM 46.128906 1668775867.5700
MEM 46.148438 1668775867.6779
MEM 46.160156 1668775867.7863
MEM 46.175781 1668775867.8945
MEM 46.183594 1668775868.0026
MEM 46.199219 1668775868.1101
MEM 46.210938 1668775868.2183
MEM 46.222656 1668775868.3259
MEM 46.234375 1668775868.4340
MEM 46.246094 1668775868.5418
